"","year","m","species"
"1",1980,2.35017618258427,"Leuroglossus stilbius"
"2",1981,23.0955898809711,"Leuroglossus stilbius"
"3",1982,40.5927940217391,"Leuroglossus stilbius"
"4",1983,0.967105263157895,"Leuroglossus stilbius"
"5",1984,20.1021535257732,"Leuroglossus stilbius"
"6",1985,1.28288885348361,"Leuroglossus stilbius"
"7",1986,15.1726189833333,"Leuroglossus stilbius"
"8",1987,15.8497221742424,"Leuroglossus stilbius"
"9",1988,0.71993449010989,"Leuroglossus stilbius"
"10",1989,4.30818041346154,"Leuroglossus stilbius"
"11",1990,14.0923519753086,"Leuroglossus stilbius"
"12",1991,13.4973529411765,"Leuroglossus stilbius"
"13",1992,4.25179245283019,"Leuroglossus stilbius"
"14",1993,22.6309677419355,"Leuroglossus stilbius"
"15",1994,0.359203703488372,"Leuroglossus stilbius"
"16",1995,8.74371879381443,"Leuroglossus stilbius"
"17",1996,20.86517731,"Leuroglossus stilbius"
"18",1997,16.1460683333333,"Leuroglossus stilbius"
"19",1998,10.74400910625,"Leuroglossus stilbius"
"20",1999,20.7446983364486,"Leuroglossus stilbius"
"21",2000,13.2066724861111,"Leuroglossus stilbius"
"22",2001,6.50764995495495,"Leuroglossus stilbius"
"23",2002,12.4825513894737,"Leuroglossus stilbius"
"24",2003,1.01808627784091,"Leuroglossus stilbius"
"25",2004,7.31413896376812,"Leuroglossus stilbius"
"26",2005,8.19420802597403,"Leuroglossus stilbius"
"27",2006,12.0124332585366,"Leuroglossus stilbius"
"28",2007,4.31537977419355,"Leuroglossus stilbius"
"29",2008,2.51740967428571,"Leuroglossus stilbius"
"30",2009,2.01758703945946,"Leuroglossus stilbius"
"31",2010,5.44763375384615,"Leuroglossus stilbius"
"32",2011,3.32394751033058,"Leuroglossus stilbius"
"33",2012,5.4957169804878,"Leuroglossus stilbius"
"34",2013,7.98551264727273,"Leuroglossus stilbius"
"35",2014,9.3355535720524,"Leuroglossus stilbius"
"36",2015,12.3106703695652,"Leuroglossus stilbius"
"37",2016,21.4631468679245,"Leuroglossus stilbius"
"38",2017,39.4469539130435,"Leuroglossus stilbius"
"39",1980,0.431104873595506,"Lipolagus ochotensis"
"40",1981,5.44214255380577,"Lipolagus ochotensis"
"41",1982,34.5890708913043,"Lipolagus ochotensis"
"42",1983,1.64005228618421,"Lipolagus ochotensis"
"43",1984,11.4119963943299,"Lipolagus ochotensis"
"44",1985,0.42862556147541,"Lipolagus ochotensis"
"45",1986,4.23383335,"Lipolagus ochotensis"
"46",1987,18.0308727272727,"Lipolagus ochotensis"
"47",1988,1.02990905384615,"Lipolagus ochotensis"
"48",1989,3.74115198076923,"Lipolagus ochotensis"
"49",1990,5.55612849382716,"Lipolagus ochotensis"
"50",1991,18.5211764705882,"Lipolagus ochotensis"
"51",1992,2.54179245283019,"Lipolagus ochotensis"
"52",1993,8.00645161290323,"Lipolagus ochotensis"
"53",1994,0.636265897286822,"Lipolagus ochotensis"
"54",1995,0.914184046391753,"Lipolagus ochotensis"
"55",1996,4.16671192,"Lipolagus ochotensis"
"56",1997,2.54873290909091,"Lipolagus ochotensis"
"57",1998,7.52440635,"Lipolagus ochotensis"
"58",1999,9.30225224766355,"Lipolagus ochotensis"
"59",2000,8.21201936574074,"Lipolagus ochotensis"
"60",2001,4.99765204954955,"Lipolagus ochotensis"
"61",2002,10.7702741473684,"Lipolagus ochotensis"
"62",2003,5.93072115397727,"Lipolagus ochotensis"
"63",2004,15.8897963115942,"Lipolagus ochotensis"
"64",2005,6.29580111363636,"Lipolagus ochotensis"
"65",2006,2.80095027804878,"Lipolagus ochotensis"
"66",2007,2.12552532258065,"Lipolagus ochotensis"
"67",2008,1.14958457428571,"Lipolagus ochotensis"
"68",2009,3.37268868432432,"Lipolagus ochotensis"
"69",2010,6.11440341846154,"Lipolagus ochotensis"
"70",2011,9.47964899090909,"Lipolagus ochotensis"
"71",2012,5.46184796585366,"Lipolagus ochotensis"
"72",2013,20.7485971,"Lipolagus ochotensis"
"73",2014,8.3408116790393,"Lipolagus ochotensis"
"74",2015,15.8454478641304,"Lipolagus ochotensis"
"75",2016,33.0143305471698,"Lipolagus ochotensis"
"76",2017,19.12067375,"Lipolagus ochotensis"
